file_name;timestamp;user_id;Emotion_1_mean;Emotion_1_std;Emotion_1_label;Emotion_2_mean;Emotion_2_std;Emotion_2_label;Emotion_3_mean;Emotion_3_std;Emotion_3_label;arousal;valence;dominance
1704063600_0.wav;1704063600;21;1.0;0.090667525;happiness;0.752256666;0.056185627;disgust;0.824879654;0.037753592;sadness;0.4382034726419147;0.6509851717277078;0.6583596123698136
1704069916_1.wav;1704069916;75;0.908323444;0.067466434;happiness;0.975900155;0.050634657;fear;0.72347194;0.06430934;happiness;0.6672236738000614;0.7713516374641856;0.5850798907293633
1704076232_2.wav;1704076232;44;0.824523531;0.084656987;neutral;1.0;0.064898177;fear;1.0;0.083177324;neutral;0.20585128780352374;-0.014663043529504358;0.05482689083018102
1704082549_3.wav;1704082549;26;0.847187303;0.043927755;disgust;0.887027658;0.045849463;fear;1.0;0.028984404;neutral;0.5449926266753725;-0.8681561002435956;-0.619411599781659
1704088865_4.wav;1704088865;5;0.822159699;0.054272703;neutral;1.0;0.035861131;fear;0.774824422;0.007396607;neutral;0.24134349970473887;0.051870986818519066;0.02512852158003248
1704095182_5.wav;1704095182;46;0.848024251;0.072687414;neutral;0.870754867;0.091826972;happiness;0.896238453;0.097929913;happiness;0.20668697815278728;0.01829162882717643;0.002172110827390705
1704101498_6.wav;1704101498;90;1.0;0.068553523;neutral;0.808404277;0.052993641;happiness;0.814980489;0.037726473;sadness;0.4644866570990014;-0.0028848105037153904;0.09404895295463812
1704107815_7.wav;1704107815;70;0.212228789;0.064915868;fear;0.0;0.08627025;sadness;0.057339605;0.036894554;anger;0.9515605625129451;-0.9645067901252887;-0.7915264742591744
1704114131_8.wav;1704114131;14;1.0;0.058233523;happiness;0.739819442;0.045866896;happiness;1.0;0.017150174;neutral;0.3103554817767276;0.8695763307539021;0.7879724503299126
1704120448_9.wav;1704120448;44;1.0;0.014242499;fear;0.926155935;0.083120407;neutral;0.739119165;0.022673307;fear;0.6742669562733178;-0.71882590492732;-0.7001447867737995
1704126764_10.wav;1704126764;34;0.91396352;0.067469824;neutral;1.0;0.025054751;happiness;0.814468793;0.001514631;sadness;0.4916218417763749;0.0594298557862504;0.016680419220702812
1704133081_11.wav;1704133081;32;0.919160064;0.024196214;sadness;1.0;0.028065793;happiness;1.0;0.07187966;neutral;0.03925404336980128;-0.9788363885661786;-0.4697548044662798
1704139397_12.wav;1704139397;89;0.71192022;0.093038146;happiness;1.0;0.03358875;disgust;1.0;0.010384347;happiness;0.5689036660282528;0.7693165230077861;0.5279261865567613
1704145714_13.wav;1704145714;82;0.806895935;0.0317004;happiness;1.0;0.066846508;happiness;1.0;0.005973489;happiness;0.6849975757701103;0.8063284801745944;0.8761014551961468
1704152030_14.wav;1704152030;39;1.0;0.053311007;happiness;0.725571372;0.086247033;neutral;1.0;0.040898042;neutral;0.5029218118254255;0.7050721822083399;0.9281023507282478
1704158347_15.wav;1704158347;81;0.992017374;0.025190968;neutral;1.0;0.01045427;neutral;0.903139593;0.068057154;happiness;0.3528788276683218;-0.02821488472561287;0.10454132397577283
1704164663_16.wav;1704164663;52;0.29668897;0.013854182;anger;0.312169159;0.020258471;happiness;0.0;0.085715396;happiness;0.9629995543771368;-0.34303633532080646;-0.34426116959029307
